9 990 2342
2 99 -0.0491207 -0.0511976
2 40 -0.0852404 -0.396193
0 100 0.246287 0.0593724
2 100 0.280686 0.1138
0 101 0.360666 0.111229
2 101 0.414845 0.200371
0 102 0.125458 -0.383336
2 102 0.218767 -0.39705
0 103 0.321536 -0.373051
2 103 0.500414 -0.400479
0 104 -0.314858 0.257798
2 104 -0.380218 0.202942
0 105 -0.0336408 -0.391907
2 105 0.0132288 -0.398764
0 106 0.0635383 -0.369622
2 106 0.132768 -0.379908
0 107 0.437635 0.213228
2 107 0.475905 0.353369
0 108 -0.347538 0.271084
2 108 -0.414617 0.20637
0 109 0.297886 0.0448012
2 109 0.346046 0.103086
0 110 0.0183887 -0.0773401
2 110 0.205007 -0.0301979
0 111 -0.277449 0.0572296
2 111 -0.344098 0.0135159
0 112 -0.239609 -0.043912
2 112 -0.298089 -0.0781972
0 113 -0.221119 -0.390193
2 113 -0.18199 -0.386765
0 114 0.286706 0.0623724
2 114 0.393345 0.140371
2 8 0.0635383 0.0486582
2 21 -0.328618 -0.375193
3 64 -0.344958 0.157943
3 66 -0.299378 -0.106483
0 115 0.324976 -0.0237694
3 115 0.340886 0.0079445
0 116 -0.298948 -0.0199123
3 116 -0.348398 -0.0164838
0 117 -0.334208 -0.0520547
3 117 -0.387958 -0.0533404
0 118 -0.276589 0.0383727
3 118 -0.322598 0.0465154
0 119 -0.244769 0.202085
3 119 -0.305398 0.216227
0 120 -0.276159 0.00280171
3 120 -0.323028 0.00880163
0 121 -0.307118 -0.0224837
3 121 -0.353988 -0.0186266
0 122 -0.287769 0.00580167
3 122 -0.336358 0.0109445
0 123 -0.254659 0.272798
3 123 -0.323888 0.289512
0 124 0.0914881 0.103086
3 124 0.094498 0.154943
0 125 -0.283039 -0.00319821
3 125 -0.329908 0.00280171
0 126 -0.298948 -0.00662674
3 126 -0.350548 -0.00405535
0 127 -0.276589 -0.00276965
3 127 -0.323458 0.00323027
0 128 -0.245629 -0.359765
3 128 -0.224989 -0.316908
0 129 -0.246059 -0.115911
3 129 -0.299378 -0.112482
0 130 0.149968 -0.0820543
3 130 0.205007 -0.0301979
0 131 -0.284329 0.0975147
3 131 -0.327328 0.108657
0 132 -0.142 -0.0610546
3 132 -0.10889 -0.0164838
0 133 0.280256 -0.259909
3 133 0.394205 -0.205053
0 134 0.0428985 -0.232909
3 134 0.111698 -0.178053
0 135 0.0317186 -0.386336
3 135 0.0244087 -0.365336
0 136 -0.266269 0.0833721
3 136 -0.308408 0.0953719
0 137 -0.0787904 -0.0794829
3 137 -0.0383708 -0.0306264
0 138 -0.587046 -0.194767
3 138 -0.493737 -0.146768
0 139 0.173617 -0.393622
3 139 0.194257 -0.373479
0 140 0.0484884 -0.372622
3 140 0.0424685 -0.352051
0 141 0.0330086 -0.0404834
3 141 0.0330086 -0.00662674
0 142 -0.291639 0.209799
3 142 -0.354848 0.219227
0 143 -0.0534207 -0.0717687
3 143 -0.015581 -0.0233408
3 56 0.321966 -0.376908
0 144 -0.00526108 -0.096197
3 144 0.0420385 -0.0443405
0 145 -0.295079 0.00880163
3 145 -0.344098 0.0135159
0 146 0.211457 -0.403907
3 146 0.218767 -0.39705
3 81 -0.298518 -0.0567689
0 147 -0.344528 -0.0854828
3 147 -0.397848 -0.0884828
3 51 0.366686 0.189228
0 148 -0.249499 -0.053769
3 148 -0.295939 -0.0481976
4 64 0.0471985 -0.355908
0 149 0.0510684 -0.383765
4 149 -0.0293409 -0.393622
0 150 -0.013431 -0.392336
4 150 -0.0994303 -0.402622
4 59 -0.0921203 -0.410336
0 151 -0.019021 -0.405622
4 151 -0.10588 -0.416336
0 152 -0.283039 0.166085
4 152 -0.366888 0.235513
0 153 -0.00655107 -0.40605
4 153 -0.0921203 -0.416764
4 69 -0.298518 -0.0567689
4 70 0.0244087 -0.365336
0 154 -0.013001 -0.40605
4 154 -0.0994303 -0.417193
0 155 -0.386668 -0.397479
4 155 -0.550496 -0.410764
0 156 0.0166687 -0.397479
4 156 -0.0663205 -0.407764
4 75 -0.593066 -0.365336
0 157 -0.013431 -0.385907
4 157 -0.0994303 -0.395764
