15 1522 5416
0 0 -0.337293 -0.363704
1 0 -0.298652 -0.408789
0 1 -0.333015 -0.357528
1 1 -0.294488 -0.401879
0 2 -0.282865 -0.327974
1 2 -0.247808 -0.372785
0 3 -0.274915 -0.304926
1 3 -0.239566 -0.349301
0 4 -0.25168 -0.285332
1 4 -0.218317 -0.330171
0 5 -0.24372 -0.0499235
1 5 -0.215053 -0.0944366
0 6 -0.24372 -0.0499235
1 6 -0.215053 -0.0944366
0 7 -0.240022 -0.280631
1 7 -0.208896 -0.326874
0 8 -0.219491 -0.273444
1 8 -0.188813 -0.318601
0 9 -0.217245 -0.279247
1 9 -0.186548 -0.323755
0 10 -0.216491 -0.261108
1 10 -0.186922 -0.307121
0 11 -0.216491 -0.261108
1 11 -0.186922 -0.307121
0 12 -0.215737 -0.228495
1 12 -0.183977 -0.273386
0 13 -0.213459 -0.0655876
1 13 -0.185672 -0.108989
0 14 -0.211004 -0.267866
1 14 -0.181585 -0.312861
0 15 -0.198469 -0.2645
1 15 -0.169109 -0.309014
0 16 -0.198081 -0.0736416
1 16 -0.170397 -0.116257
0 17 -0.19708 -0.245826
1 17 -0.168908 -0.292447
0 18 -0.194744 -0.0793116
1 18 -0.167229 -0.121435
0 19 -0.191854 -0.224099
1 19 -0.164071 -0.271261
0 20 -0.191672 -0.241113
1 20 -0.163935 -0.287627
0 21 -0.185205 -0.235375
1 21 -0.157613 -0.281987
0 22 -0.183793 -0.226496
1 22 -0.156209 -0.273345
0 23 -0.180091 -0.235805
1 23 -0.152491 -0.281709
0 24 -0.177841 -0.239277
1 24 -0.150027 -0.284811
0 25 -0.177797 -0.229763
1 25 -0.150298 -0.276101
0 26 -0.174852 -0.245439
1 26 -0.146471 -0.289521
0 27 -0.167431 -0.204553
1 27 -0.140901 -0.251868
0 28 -0.166242 -0.216523
1 28 -0.140543 -0.262628
0 29 -0.166242 -0.216523
1 29 -0.140543 -0.262628
0 30 -0.165913 -0.234388
1 30 -0.138745 -0.278805
0 31 -0.164017 0.23656
1 31 -0.154374 0.141592
0 32 -0.162497 -0.241871
1 32 -0.134603 -0.285481
0 33 -0.161969 -0.0761884
1 33 -0.136232 -0.118277
0 34 -0.158769 -0.225497
1 34 -0.13063 -0.269715
0 35 -0.153169 -0.228081
1 35 -0.126444 -0.272255
0 36 -0.149861 -0.183065
1 36 -0.125454 -0.231435
0 37 -0.146469 -0.224763
1 37 -0.1202 -0.268771
0 38 -0.144093 -0.183328
1 38 -0.119313 -0.230881
0 39 -0.143093 -0.0677496
1 39 -0.118454 -0.109991
0 40 -0.141066 0.145527
1 40 -0.128824 0.0630591
