9 1855 6929
0 0 -0.443291 0.056065
1 0 -0.571869 0.11831
0 1 -0.443243 0.0671023
1 1 -0.570776 0.128031
0 1 -0.442869 0.0666448
0 2 -0.428939 -0.0161153
1 2 -0.556359 0.0495861
0 3 -0.422364 0.235614
1 3 -0.545885 0.289756
0 4 -0.420744 0.0267718
1 4 -0.549286 0.0906092
0 5 -0.414519 0.170604
1 5 -0.536728 0.227233
0 6 -0.406626 -0.000782677
1 6 -0.534825 0.064578
0 7 -0.400884 0.103183
1 7 -0.527538 0.16291
0 8 -0.399548 0.0343519
1 8 -0.528074 0.0977825
0 9 -0.39292 0.167547
1 9 -0.513667 0.224864
0 10 -0.361535 -0.112949
1 10 -0.464214 -0.0474247
0 11 -0.359542 -0.121031
1 11 -0.46199 -0.0550735
0 12 -0.355717 -0.147977
1 12 -0.4575 -0.0807488
0 13 -0.351219 -0.258443
1 13 -0.454991 -0.184089
0 14 -0.35101 -0.109817
1 14 -0.453181 -0.0447893
0 15 -0.347975 -0.0844943
1 15 -0.449152 -0.0204374
0 16 -0.345256 -0.0997202
1 16 -0.447872 -0.0351494
0 17 -0.342068 -0.0814312
1 17 -0.443875 -0.0174943
0 18 -0.338625 -0.241589
1 18 -0.446257 -0.167604
0 19 -0.338625 -0.241589
1 19 -0.446257 -0.167604
0 20 -0.33853 -0.0862859
1 20 -0.440685 -0.0228007
0 21 -0.335714 -0.125857
1 21 -0.43965 -0.0595083
0 22 -0.335714 -0.125857
1 22 -0.43965 -0.0595083
0 23 -0.334688 -0.20415
1 23 -0.437284 -0.133446
0 24 -0.331568 -0.251353
1 24 -0.438521 -0.176399
0 25 -0.33033 -0.106161
1 25 -0.432043 -0.0422101
0 26 -0.329958 -0.0809292
1 26 -0.432808 -0.0172757
0 27 -0.329726 -0.0660792
1 27 -0.430376 -0.00335937
0 28 -0.321737 -0.198407
1 28 -0.42761 -0.126487
0 29 -0.320445 -0.119843
1 29 -0.423647 -0.0538586
0 28 -0.320058 -0.19811
0 30 -0.317048 -0.102536
1 30 -0.42141 -0.0371111
0 31 -0.309541 0.0982306
1 31 -0.414755 0.155971
0 32 -0.309302 -0.21652
1 32 -0.416629 -0.14511
0 33 -0.308377 -0.219538
1 33 -0.416079 -0.146996
0 34 -0.307835 -0.169081
1 34 -0.41319 -0.0993208
0 35 -0.307835 -0.169081
1 35 -0.41319 -0.0993208
0 36 -0.306558 -0.239523
1 36 -0.413742 -0.166048
0 37 -0.306451 -0.245537
1 37 -0.414048 -0.170581
0 38 -0.303483 -0.259485
1 38 -0.40773 -0.186349
0 39 -0.303072 0.0676113
1 39 -0.406367 0.125774
0 40 -0.298129 -0.209549
1 40 -0.406833 -0.137065
0 41 -0.298129 -0.209549
1 41 -0.406833 -0.137065
0 42 -0.297841 -0.154428
1 42 -0.402339 -0.0865132
0 43 -0.296736 -0.161818
1 43 -0.40059 -0.0933949
0 44 -0.290894 -0.216723
1 44 -0.398283 -0.14477
0 45 -0.290894 -0.216723
1 45 -0.398283 -0.14477
0 46 -0.289555 -0.116642
1 46 -0.397438 -0.0498462
0 47 -0.283823 -0.224295
1 47 -0.391655 -0.151489
0 48 -0.283205 -0.258531
1 48 -0.38751 -0.185907
0 49 -0.279289 -0.244718
1 49 -0.386116 -0.17164
0 50 -0.279132 -0.229055
1 50 -0.386555 -0.155486
0 51 -0.277177 -0.233465
1 51 -0.383947 -0.160077
0 52 -0.277177 -0.233465
1 52 -0.383947 -0.160077
0 53 -0.275402 -0.180252
1 53 -0.383469 -0.109488
0 54 -0.271891 -0.214373
1 54 -0.380313 -0.141941
0 55 -0.270772 -0.232626
1 55 -0.377357 -0.159477
0 56 -0.269815 -0.247719
1 56 -0.37337 -0.175754
0 57 -0.268413 -0.241316
1 57 -0.373127 -0.167846
0 58 -0.263413 -0.107198
1 58 -0.374429 -0.0402075
0 59 -0.263151 -0.139399
1 59 -0.369006 -0.070761
0 60 -0.25888 -0.179523
1 60 -0.362494 -0.110804
0 61 -0.25888 -0.179523
1 61 -0.362494 -0.110804
0 62 -0.25888 -0.179523
1 62 -0.362494 -0.110804
0 63 -0.247579 -0.195144
1 63 -0.354757 -0.125477
0 64 -0.244913 0.0817738
1 64 -0.353895 0.14123
0 65 -0.202007 0.0919369
1 65 -0.310251 0.150921
0 66 -0.200155 -0.0901132
1 66 -0.318965 -0.0224165
0 67 -0.185411 -0.0700972
1 67 -0.305982 -0.00276173
0 68 -0.185411 -0.0700972
1 68 -0.305982 -0.00276173
0 69 -0.181403 -0.0758918
1 69 -0.301742 -0.00872298
0 70 -0.176597 0.0841674
1 70 -0.284937 0.143553
0 71 -0.176526 -0.0813839
1 71 -0.296516 -0.0138268
0 72 -0.17265 -0.059975
1 72 -0.291297 0.00605944
0 73 -0.171445 -0.0730739
1 73 -0.29086 -0.0056631
0 74 -0.170606 -0.0655211
1 74 -0.289316 0.000918556
0 75 -0.145526 -0.0277865
1 75 -0.248252 0.0335467
0 76 -0.137258 0.0936602
1 76 -0.244803 0.153775
0 77 -0.130501 -0.0805512
1 77 -0.25003 -0.0131766
0 78 -0.126711 0.0736865
1 78 -0.232335 0.13325
0 79 -0.126097 0.0676167
1 79 -0.231674 0.127434
0 80 -0.126097 0.0676167
1 80 -0.231674 0.127434
0 81 -0.120988 -0.0922821
1 81 -0.240132 -0.0245046
0 82 -0.120988 -0.0922821
1 82 -0.240132 -0.0245046
0 83 -0.118835 -0.0997798
1 83 -0.236984 -0.0314887
0 84 -0.113334 -0.0989912
1 84 -0.230669 -0.0310652
0 85 -0.11256 -0.246599
1 85 -0.215401 -0.174734
0 86 -0.108273 -0.264454
1 86 -0.21276 -0.189937
0 87 -0.106453 -0.253487
1 87 -0.212126 -0.180281
0 88 -0.106273 -0.17674
1 88 -0.210313 -0.107694
0 89 -0.106257 -0.241581
1 89 -0.211944 -0.169986
0 90 -0.0955037 -0.233442
1 90 -0.204473 -0.161075
0 91 -0.0955037 -0.233442
1 91 -0.204473 -0.161075
0 92 -0.0948762 -0.204412
1 92 -0.197771 -0.133416
0 93 -0.0920928 -0.0803204
1 93 -0.206963 -0.0137143
0 94 -0.0920064 -0.0937424
1 94 -0.208074 -0.0272189
0 95 -0.0899842 -0.265709
1 95 -0.197248 -0.191933
0 96 -0.0873158 -0.200235
1 96 -0.190639 -0.130551
0 97 -0.084132 0.0629202
1 97 -0.191232 0.124087
0 98 -0.0837949 -0.144212
1 98 -0.194837 -0.0748358
0 99 -0.0833531 -0.278331
1 99 -0.190988 -0.203178
0 100 -0.0779785 -0.288439
1 100 -0.186145 -0.212668
0 101 -0.0757983 -0.195255
1 101 -0.181984 -0.125289
0 102 -0.0748298 -0.283609
1 102 -0.183583 -0.208138
0 103 -0.0748298 -0.283609
1 103 -0.183583 -0.208138
0 104 -0.0717964 0.0545327
1 104 -0.182141 0.116891
0 105 -0.0703904 0.0659447
1 105 -0.178209 0.126943
0 106 -0.0703904 0.0659447
1 106 -0.178209 0.126943
0 107 -0.0698616 -0.264557
1 107 -0.17954 -0.190338
0 108 -0.0659007 -0.149774
1 108 -0.178085 -0.0791489
0 109 -0.0576464 -0.199581
1 109 -0.163424 -0.130188
0 110 -0.0560522 -0.276937
1 110 -0.165871 -0.201874
0 111 -0.0558201 -0.267856
1 111 -0.16564 -0.193706
0 112 -0.0507491 -0.195102
1 112 -0.158279 -0.124817
0 113 -0.0507491 -0.195102
1 113 -0.158279 -0.124817
0 114 -0.050224 -0.254777
1 114 -0.160312 -0.18091
0 115 -0.0479327 -0.264326
1 115 -0.15793 -0.190311
0 116 -0.0479327 -0.264326
1 116 -0.15793 -0.190311
0 117 -0.0417308 -0.19525
1 117 -0.149866 -0.125115
0 118 -0.0372638 -0.188834
1 118 -0.145167 -0.118975
0 119 -0.0368595 -0.234472
1 119 -0.146792 -0.162278
0 120 -0.0277917 -0.111106
1 120 -0.136164 -0.0455865
0 121 -0.0277917 -0.111106
1 121 -0.136164 -0.0455865
0 122 -0.0270963 -0.188911
1 122 -0.135151 -0.118668
0 123 -0.0224911 -0.145086
1 123 -0.132237 -0.0764977
0 124 -0.0158807 -0.132162
1 124 -0.125263 -0.0638389
0 125 -0.0156294 0.060126
1 125 -0.124726 0.121622
0 126 -0.0113574 -0.272253
1 126 -0.118552 -0.198479
0 127 -0.0110086 -0.178163
1 127 -0.120271 -0.108267
0 128 -0.0109516 -0.154607
1 128 -0.118812 -0.0850995
0 129 -0.0109516 -0.154607
1 129 -0.118812 -0.0850995
0 127 -0.0108429 -0.178302
0 130 -0.00539495 -0.195394
1 130 -0.11401 -0.124891
0 131 -0.0020044 -0.219279
1 131 -0.108051 -0.146843
0 132 -0.00057236 -0.139917
1 132 -0.109368 -0.0706755
0 133 0.00312044 -0.168281
1 133 -0.106786 -0.0984397
0 134 0.00409839 -0.195639
1 134 -0.104061 -0.125303
0 135 0.00418469 0.104975
1 135 -0.124533 0.16817
0 134 0.00517564 -0.196292
0 136 0.00838295 0.100912
1 136 -0.120468 0.164196
0 137 0.0163068 0.0916441
1 137 -0.112321 0.155516
0 138 0.0628483 0.165072
1 138 -0.0679558 0.228382
0 139 0.0660064 0.169917
1 139 -0.065338 0.233044
0 140 0.0670057 0.161823
1 140 -0.0638122 0.224935
0 141 0.068857 0.053398
1 141 -0.0707216 0.120608
0 142 0.0744368 0.102134
1 142 -0.0645077 0.166554
0 143 0.0744368 0.102134
1 143 -0.0645077 0.166554
0 144 0.07632 0.180303
1 144 -0.0538402 0.243124
0 145 0.0843891 0.107444
1 145 -0.0570597 0.173067
0 146 0.0881404 0.12066
1 146 -0.0538269 0.185907
0 147 0.0881404 0.12066
1 147 -0.0538269 0.185907
0 148 0.096155 0.111243
1 148 -0.0452142 0.1768
0 149 0.100803 0.100896
1 149 -0.0404535 0.166335
0 150 0.107494 0.0797343
1 150 -0.0378432 0.147006
0 151 0.108042 0.0108153
1 151 -0.0357244 0.0799654
0 152 0.111565 0.0275151
1 152 -0.0261493 0.0949673
0 153 0.115003 0.0804447
