22 2742 10764
0 98 0.0988818 -0.0458046
1 98 0.152851 -0.0491433
0 99 0.0989107 -0.0582029
1 99 0.153014 -0.0612432
0 100 0.0993557 -0.0724999
1 100 0.154033 -0.0750813
0 101 0.122678 0.0727805
1 101 0.145136 0.0676421
0 102 0.152266 -0.0246981
1 102 0.207437 -0.0295337
0 103 0.153402 0.00188148
1 103 0.206878 -0.00293468
0 104 0.154732 -0.0204805
1 104 0.209331 -0.0245744
0 105 0.163432 0.0194546
1 105 0.2554 0.0146313
0 106 0.169189 0.0431859
1 106 0.217927 0.0369346
0 107 0.169189 0.0431859
1 107 0.217927 0.0369346
0 108 0.172141 -0.0871486
1 108 0.210674 -0.0901677
0 109 0.172157 -0.0348848
1 109 0.233288 -0.0391155
0 109 0.17744 -0.0353724
0 110 0.178451 -0.0628641
1 110 0.22696 -0.0662327
0 111 0.18559 0.0453595
1 111 0.234778 0.038871
0 112 0.186506 0.0233988
1 112 0.240682 0.0176476
0 113 0.189261 0.046388
1 113 0.23858 0.0398103
0 114 0.189922 -0.0324226
1 114 0.245604 -0.0364813
0 115 0.190085 -0.0421713
1 115 0.245495 -0.0455892
0 116 0.190168 -0.110861
1 116 0.229811 -0.114222
0 117 0.194979 -0.0296539
1 117 0.250669 -0.0336676
0 118 0.198288 -0.0313668
1 118 0.253739 -0.0357856
0 119 0.198417 -0.0975453
1 119 0.238069 -0.100941
0 120 0.199227 -0.0379222
1 120 0.254357 -0.0419014
0 105 0.201181 0.020264
0 121 0.201805 -0.123643
1 121 0.241337 -0.126204
0 122 0.202091 -0.100447
1 122 0.241317 -0.104304
0 123 0.202349 -0.0233023
1 123 0.258404 -0.0275073
0 124 0.204156 0.0481187
1 124 0.253733 0.0412711
0 125 0.205564 -0.0185535
1 125 0.261213 -0.0231764
0 126 0.207414 0.00823265
1 126 0.262128 0.00262034
0 127 0.208794 -0.00962333
1 127 0.263984 -0.0147312
0 128 0.209659 -0.00211354
1 128 0.26491 -0.00740708
0 129 0.211252 -0.116291
1 129 0.251587 -0.118902
0 130 0.212184 0.0459301
1 130 0.261608 0.039118
0 131 0.21864 0.0505303
1 131 0.268299 0.0434895
0 132 0.225989 -0.103775
1 132 0.267555 -0.10646
0 133 0.243658 -0.0529425
1 133 0.29066 -0.0566274
0 134 0.247168 -0.0614557
1 134 0.292969 -0.0652472
0 135 0.254827 -0.0647171
1 135 0.300558 -0.0684474
0 136 0.25845 -0.0876014
1 136 0.30618 -0.0904474
0 137 0.260379 -0.0606228
1 137 0.306072 -0.0645836
0 138 0.262713 -0.0876764
1 138 0.30618 -0.0904474
0 136 0.262713 -0.0876764
0 139 0.26585 -0.0823921
1 139 0.310547 -0.0852629
0 140 0.266418 -0.0979445
1 140 0.305392 -0.101
0 141 0.266418 -0.0979445
1 141 0.305392 -0.101
0 142 0.28132 -0.111417
1 142 0.318591 -0.113768
0 143 0.28132 -0.111417
1 143 0.318591 -0.113768
0 144 0.285208 0.0907243
1 144 0.315489 0.0836158
2 2 -0.11027 -0.0242848
2 3 -0.105567 -0.0448951
0 145 -0.145736 -0.0647764
2 145 -0.0938005 -0.0122341
0 146 -0.129456 -0.138516
2 146 -0.0859378 -0.0867316
0 147 -0.126685 0.102776
2 147 -0.0116986 0.156188
2 9 -0.0104792 0.132948
0 148 -0.123628 0.0628795
2 148 -0.00641112 0.118853
0 149 -0.123628 0.0628795
2 149 -0.00641112 0.118853
2 13 -0.00819726 0.155293
2 15 -0.00387479 0.115138
0 150 -0.118252 0.106084
2 150 -0.00373517 0.159114
2 18 -0.00371808 0.178419
0 151 -0.117448 0.109078
2 151 -0.0029489 0.161845
2 20 -0.059222 -0.071468
0 152 -0.103278 0.174813
2 152 0.0143734 0.22432
2 22 -0.046615 -0.0885902
2 23 0.0154049 0.204097
0 153 -0.0956997 0.159001
2 153 0.0187036 0.207551
2 27 -0.0330821 -0.0820216
0 154 -0.0861857 0.168753
2 154 0.0291208 0.216003
2 28 0.0291208 0.216003
2 29 0.029094 0.215913
0 155 -0.0858441 0.168436
2 155 0.029094 0.215913
2 31 -0.0217112 -0.051891
2 32 0.0339593 0.219844
0 156 -0.0809411 0.176682
2 156 0.0350266 0.223096
0 157 -0.0769484 0.176425
2 157 0.0387038 0.22248
0 158 -0.0769484 0.176425
2 158 0.0387038 0.22248
2 35 0.0441283 0.224824
2 36 0.0441283 0.224824
2 40 0.0488069 0.227245
0 159 -0.0645269 0.182212
2 159 0.0513853 0.226774
0 160 -0.0637733 -0.128751
2 160 -0.0087457 -0.0775324
2 43 0.0555702 0.228062
0 161 -0.0453689 -0.0254672
2 161 0.098515 0.0354799
2 46 0.0539523 -0.0359894
0 162 -0.0320149 -0.123916
2 162 0.0505859 -0.066901
2 47 0.0594666 -0.0328923
2 49 0.0633506 -0.0474329
2 50 0.0677934 -0.0310168
2 52 0.067895 -0.0388086
2 54 0.0714764 -0.0317574
0 163 -0.0135069 -0.0893009
2 163 0.0736438 -0.0342088
0 164 -0.00984615 -0.0864
2 164 0.0776814 -0.0314295
0 165 -0.00583687 -0.0852615
2 165 0.0819469 -0.0297784
0 166 -0.00158405 -0.0930298
2 166 0.08661 -0.0377672
2 56 0.0890829 -0.0335447
2 57 0.0895899 -0.0347979
0 167 0.00344824 -0.0662305
2 167 0.0906379 -0.0130791
2 58 0.0935403 -0.0280744
2 59 0.0952058 -0.0356451
2 60 0.0952058 -0.0356451
0 168 0.0103137 -0.0864145
2 168 0.0988112 -0.0322422
0 169 0.0122494 -0.082258
2 169 0.100921 -0.02779
2 61 0.100921 -0.02779
0 170 0.0131507 -0.0680724
2 170 0.102024 -0.0147618
0 171 0.0140659 -0.0991459
2 171 0.102304 -0.0440531
2 64 0.107283 -0.0351665
0 172 0.0182144 -0.090095
2 172 0.107283 -0.0351665
2 67 0.142375 0.218109
2 69 0.150546 0.118603
2 71 0.147952 0.211886
2 72 0.149586 0.207333
2 73 0.116301 -0.0352091
0 173 0.0322108 -0.0908004
2 173 0.12149 -0.0360282
2 76 0.120912 -0.033271
0 174 0.0341212 -0.042331
2 174 0.111294 0.00617956
0 175 0.0345882 0.149737
2 175 0.159181 0.190539
2 77 0.123479 -0.0193035
2 78 0.160144 0.187547
0 176 0.0356751 0.108073
2 176 0.162698 0.152379
0 177 0.0368136 0.16737
2 177 0.161259 0.206824
0 178 0.0391661 0.127536
2 178 0.166166 0.170174
0 179 0.039304 0.121252
2 179 0.166431 0.164291
0 180 0.0397095 0.124212
2 180 0.166498 0.167145
0 181 0.0413326 -0.0356047
2 181 0.13724 0.0155205
2 83 0.134774 -0.0337224
0 182 0.0554015 -0.0795312
2 182 0.145262 -0.026354
2 85 0.15022 -0.0276346
2 86 0.152994 -0.0232466
2 88 0.154004 -0.0310012
2 90 0.159072 -0.0245605
0 183 0.0768758 -0.0616965
2 183 0.167085 -0.00999217
0 184 0.0775412 -0.0611191
2 184 0.167085 -0.00999217
2 92 0.168663 -0.0513625
0 185 0.0830455 -0.0609665
2 185 0.172459 -0.0097413
0 186 0.0832689 -0.109834
2 186 0.169896 -0.0548805
2 96 0.133386 -0.127576
0 187 0.0922126 -0.0706556
2 187 0.182968 -0.0187968
0 188 0.0922126 -0.0643218
2 188 0.182865 -0.0129733
2 98 0.186879 0.0030091
0 189 0.128197 -0.161397
2 189 0.171811 -0.110518
0 190 0.155543 0.0112012
2 190 0.241469 0.0541852
0 191 0.155543 0.0112012
2 191 0.241469 0.0541852
0 192 0.173975 -0.0936261
2 192 0.228075 -0.0480242
0 193 0.174884 0.0247633
2 193 0.0690958 0.0324124
2 109 0.264083 0.0112813
0 194 0.179509 0.0449218
2 194 0.25616 0.0813865
0 195 0.181338 -0.0441339
2 195 0.265464 0.00305024
2 111 0.262172 0.0815479
2 112 0.254474 0.060673
2 114 0.275679 0.0132873
2 117 0.280158 0.0157848
0 196 0.195807 0.0209417
2 196 0.28006 0.0600445
0 197 0.196573 -0.066275
2 197 0.247452 -0.0228834
2 118 0.283183 0.0134407
0 198 0.199186 0.048126
2 198 0.275527 0.0833533
2 120 0.282884 0.00784838
2 124 0.280287 0.0831288
2 125 0.290465 0.0251537
2 130 0.287844 0.0810145
2 131 0.294154 0.0848533
0 199 0.21864 0.0505303
2 199 0.294154 0.0848533
2 133 0.309373 -0.0094255
0 200 0.254413 -0.0874576
2 200 0.314594 -0.0411811
0 201 0.254413 -0.0874576
2 201 0.314594 -0.0411811
2 135 0.318492 -0.0208149
2 138 0.320889 -0.0415997
2 136 0.320889 -0.0415997
2 140 0.313654 -0.0520572
0 202 0.269865 -0.00147151
2 202 0.330579 0.0346841
0 203 0.306563 -0.0901075
2 203 0.350508 -0.0469613
3 13 0.0865431 0.152881
3 14 0.0865431 0.152881
3 17 0.0903714 0.170448
3 150 0.0908808 0.156622
3 18 0.0905069 0.175357
3 19 0.0905069 0.175357
3 23 0.110012 0.199653
3 28 0.123742 0.210697
3 29 0.123762 0.210656
3 155 0.123762 0.210656
3 32 0.128667 0.214403
3 156 0.129805 0.217355
3 157 0.133421 0.216675
3 158 0.133421 0.216675
3 36 0.1389 0.218667
3 39 0.143562 0.221074
3 40 0.143562 0.221074
3 46 0.133192 -0.0372973
0 204 -0.0324034 -0.0916405
3 204 0.133192 -0.0372973
3 50 0.147249 -0.0327322
3 51 0.147249 -0.0327322
3 52 0.14729 -0.040146
0 205 -0.0186103 -0.0823045
3 205 0.147698 -0.0289667
3 54 0.15099 -0.0337733
3 163 0.152864 -0.0361845
3 55 0.152864 -0.0361845
0 206 -0.0114951 -0.0708171
3 206 0.425931 -0.0139775
0 207 -0.0102848 -0.09425
3 207 0.157059 -0.0402515
3 164 0.156939 -0.0337037
3 165 0.16158 -0.0317837
3 166 0.166155 -0.0399055
0 208 0.000795626 -0.0878619
3 208 0.168228 -0.0357654
3 56 0.168228 -0.0357654
3 58 0.17335 -0.0306336
3 59 0.174805 -0.0381007
3 60 0.174805 -0.0381007
3 64 0.186968 -0.0379188
3 73 0.195922 -0.0381986
3 173 0.20118 -0.0393091
3 77 0.202498 -0.0228339
3 83 0.214523 -0.0374678
3 90 0.238918 -0.029303
0 209 0.154387 -0.0217876
3 209 0.368829 0.0148427
3 106 0.322367 0.069734
3 107 0.322367 0.069734
3 112 0.349153 0.0517606
3 114 0.353727 0.00362509
3 117 0.35865 0.00605663
3 196 0.358639 0.0487526
3 118 0.361705 0.00353278
3 198 0.35116 0.071548
3 105 0.363946 0.048049
3 124 0.355829 0.0712312
3 126 0.369498 0.0375586
3 130 0.363411 0.0687037
0 210 0.216261 0.046544
