15 1369 8288
0 0 -0.31089 -0.341169
1 0 -0.274215 -0.380905
0 1 -0.293571 -0.333018
1 1 -0.256897 -0.371735
0 2 0.166898 -0.330981
1 2 0.192367 -0.34015
0 3 -0.138723 -0.329962
1 3 -0.107142 -0.351358
0 4 -0.260972 -0.305509
1 4 -0.227353 -0.345245
0 5 -0.0867675 -0.301434
1 5 -0.0602803 -0.326905
0 6 -0.0755614 -0.291245
1 6 -0.0480555 -0.315698
0 7 -0.241616 -0.290226
1 7 -0.210035 -0.330981
0 8 -0.0623178 -0.279019
1 8 -0.0368494 -0.305509
0 9 -0.22226 -0.274943
1 9 -0.192716 -0.315698
0 10 -0.234485 -0.26883
1 10 -0.204941 -0.310603
0 11 -0.0490742 -0.266792
1 11 -0.0246245 -0.293283
0 12 -0.218185 -0.25966
1 12 -0.188641 -0.301434
0 13 -0.203922 -0.25966
1 13 -0.175398 -0.301434
0 14 0.451126 -0.25966
1 14 0.461314 -0.291245
0 15 -0.227353 -0.256604
1 15 -0.196791 -0.299396
0 16 -0.0551866 -0.256604
1 16 -0.0307369 -0.28717
0 17 0.440939 -0.254566
1 17 0.452145 -0.28717
0 18 -0.0684302 -0.251509
1 18 -0.0439805 -0.280037
0 19 -0.0327744 -0.249472
1 19 -0.00934343 -0.278
0 20 0.115961 -0.249472
1 20 0.136336 -0.274943
0 21 -0.0480555 -0.248453
1 21 -0.0236058 -0.278
0 22 -0.20596 -0.243358
1 22 -0.179473 -0.28717
0 23 -0.0429618 -0.24234
1 23 -0.0195308 -0.272905
0 24 0.428714 -0.24234
1 24 0.438901 -0.273924
0 25 0.447051 -0.241321
1 25 0.457239 -0.273924
0 26 0.414452 -0.239283
1 26 0.426676 -0.271887
0 27 -0.210035 -0.235208
1 27 -0.182529 -0.279019
0 28 -0.0572241 -0.235208
1 28 -0.0317557 -0.262717
0 29 -0.194754 -0.234189
1 29 -0.166229 -0.275962
0 30 -0.0154559 -0.230113
1 30 0.00695638 -0.25966
0 31 0.392039 -0.229094
1 31 0.403246 -0.261698
0 32 -0.161135 -0.227057
1 32 -0.135667 -0.26883
0 33 -0.0317557 -0.227057
1 33 -0.00934343 -0.258641
0 34 -0.0276807 -0.220943
1 34 -0.00526848 -0.252528
0 35 0.364533 -0.215849
1 35 0.37574 -0.248453
0 36 -0.0439805 -0.21483
1 36 -0.0205496 -0.246415
0 37 -0.140761 -0.210755
1 37 -0.116311 -0.251509
0 38 0.00186269 -0.210755
1 38 0.0232562 -0.241321
0 39 -0.16521 -0.207698
1 39 -0.139742 -0.25049
0 40 -0.178454 -0.206679
1 40 -0.154004 -0.251509
0 41 -0.138723 -0.205661
1 41 -0.114273 -0.246415
0 42 -0.148911 -0.201585
1 42 -0.124461 -0.244377
0 43 0.336009 -0.200566
1 43 0.348234 -0.23317
0 44 0.159767 -0.198529
1 44 0.176067 -0.230113
0 45 0.45622 -0.19751
1 45 0.449089 -0.262717
0 46 -0.141779 -0.195472
1 46 -0.118348 -0.238264
0 47 -0.120386 -0.194453
1 47 -0.0969549 -0.234189
0 48 0.016125 -0.194453
1 48 0.0364998 -0.226038
0 49 -0.0297182 -0.193434
1 49 -0.00832469 -0.226038
0 50 0.0314061 -0.18834
1 50 0.0527996 -0.218906
0 51 0.314615 -0.18834
1 51 0.327859 -0.220943
0 52 0.0202 -0.186302
1 52 0.039556 -0.218906
0 53 0.152636 -0.182227
1 53 0.167917 -0.21483
0 54 -0.135667 -0.181208
1 54 -0.112236 -0.222981
0 55 0.00186269 -0.181208
1 55 0.0222374 -0.21483
0 56 0.477613 -0.177132
1 56 0.469463 -0.245396
0 57 -0.540106 -0.176114
1 57 -0.472869 -0.187321
0 58 -0.0989924 -0.175095
1 58 -0.0775989 -0.215849
0 59 0.119018 -0.173057
1 59 0.135317 -0.207698
0 60 0.292203 -0.173057
1 60 0.304428 -0.206679
0 61 0.393058 -0.173057
1 61 0.388983 -0.236226
0 62 0.00593764 -0.172038
1 62 0.0263124 -0.205661
0 63 0.0385373 -0.171019
1 63 0.0578933 -0.202604
0 64 -0.0144371 -0.17
1 64 0.0049189 -0.206679
0 65 -0.108161 -0.166944
1 65 -0.0867675 -0.209736
0 66 0.271828 -0.161849
1 66 0.285072 -0.195472
0 67 0.0130688 -0.159812
1 67 0.0314061 -0.194453
0 68 -0.0786176 -0.157774
1 68 -0.0572241 -0.196491
0 69 0.121055 -0.153699
1 69 0.14143 -0.17917
0 70 0.0212187 -0.150642
1 70 0.039556 -0.185283
0 71 0.0120501 -0.149623
1 71 0.0314061 -0.185283
0 72 -0.088805 -0.148604
1 72 -0.0684302 -0.191396
0 73 -0.000174789 -0.147585
1 73 0.0171438 -0.186302
0 74 0.0385373 -0.146567
1 74 0.0497434 -0.196491
0 75 0.0283499 -0.141472
1 75 0.0466872 -0.176114
0 76 -0.0592616 -0.140453
1 76 -0.0399056 -0.17917
0 77 0.0507621 -0.138416
1 77 0.0670619 -0.176114
0 78 0.0314061 -0.135359
1 78 0.0497434 -0.171019
0 79 0.134299 -0.133321
1 79 0.150598 -0.167963
0 80 0.229041 -0.133321
1 80 0.243304 -0.166944
0 81 -0.0704677 -0.132303
1 81 -0.050093 -0.173057
0 82 -0.0511117 -0.129246
1 82 -0.0327744 -0.17
0 83 0.134299 -0.127208
1 83 0.14958 -0.162868
0 84 -0.0847301 -0.12517
1 84 -0.0643553 -0.168982
0 85 -0.0419431 -0.12517
1 85 -0.022587 -0.163887
0 86 0.0140875 -0.12517
1 86 0.0344623 -0.157774
0 87 -0.0602803 -0.123133
1 87 -0.0409243 -0.163887
0 88 0.134299 -0.122114
1 88 0.14958 -0.157774
0 89 0.0609495 -0.120076
1 89 0.0772493 -0.156755
0 90 -0.0725052 -0.114982
1 90 -0.0521304 -0.154717
0 91 -0.0256432 -0.109888
1 91 -0.00730596 -0.148604
0 92 -0.0449993 -0.10785
1 92 -0.0256432 -0.148604
0 93 -0.0674115 -0.106831
1 93 -0.0470367 -0.148604
0 94 0.18931 -0.102756
1 94 0.203573 -0.136378
0 95 -0.0368494 -0.100718
1 95 -0.0195308 -0.141472
0 96 0.0904929 -0.100718
1 96 0.106793 -0.138416
0 97 0.0283499 -0.0996989
1 97 0.0446497 -0.138416
0 98 0.136336 -0.0996989
1 98 0.152636 -0.131284
0 99 -0.0103622 -0.0976612
1 99 0.00899385 -0.135359
0 100 0.0741931 -0.0956235
1 100 0.0915116 -0.131284
0 101 0.294241 -0.0956235
1 101 0.309522 -0.12517
0 102 0.0680807 -0.0895103
1 102 0.0813243 -0.13434
0 103 -0.0215683 -0.0874726
1 103 -0.003231 -0.127208
0 104 0.167917 -0.0864537
1 104 0.183198 -0.120076
0 105 -0.0480555 -0.0854349
1 105 -0.0297182 -0.128227
0 106 0.135317 -0.0833971
1 106 0.151617 -0.116001
0 107 0.00695638 -0.0823783
1 107 0.0252937 -0.119057
0 108 -0.00628722 -0.0813594
1 108 0.0110313 -0.121095
0 109 -0.0144371 -0.0803406
1 109 0.00288143 -0.121095
0 110 0.0833617 -0.077284
1 110 0.0986428 -0.113963
0 111 0.0731744 -0.0762651
1 111 0.086418 -0.119057
0 112 -0.0378681 -0.0752462
1 112 -0.0205496 -0.118038
0 113 -0.00221227 -0.0711708
1 113 0.0140875 -0.111925
0 114 0.146523 -0.0691331
1 114 0.161805 -0.103774
0 115 -0.0327744 -0.0681142
1 115 -0.0154559 -0.110906
0 116 0.0293686 -0.0650576
